Gene,log2_FoldChange,minus_log10_pvalue
THBD,-0.7983,1.383629528
TTC38,-0.5167,1.380593589
FBLN2,-0.7941,1.36875922
TBC1D5,-0.2242,1.374070507
ECT2,-0.4388,1.373967752
CLCN2,0.4417,1.365825128
CEP135,-0.4764,1.361410917
PSD2,0.4552,1.3796557
PCDHA6,0.7911,1.361410917
MSH5-SAPCD1,-0.7851,1.360015752
STK38,-0.4067,1.364013888
LRRC73,0.3731,1.361910278
CD2AP,-0.4462,1.382056565
HDDC2,-0.2892,1.370284667
MTHFD1L,-0.3977,1.362410214
C1GALT1,-0.405,1.367036832
PION,-0.6404,1.376130732
RELN,-0.6005,1.360513511
ELP3,0.2685,1.374893425
GNA14,-0.7601,1.380697924
CCNB3,0.63,1.364013888
DIAPH2,-0.6971,1.370488466
NDST4,0.5745,1.358327627
Mar-02,-0.546,1.35615269
LMO7,-0.6697,1.355758414
LOC285375,0.7772,1.356054087
SPARCL1,-0.6887,1.355364496
LOC100288181,0.7611,1.355364496
KLF16,-0.422,1.351835221
FBXO17,-0.6395,1.353204311
SERTAD3,-0.4828,1.351639989
TMEM37,-0.7624,1.352812702
APOBEC3C,-0.7661,1.352421446
KCNH1,0.6478,1.350275814
KIAA0513,0.4311,1.350178537
BRD3,0.2159,1.349984048
KIAA1826,0.2806,1.347850395
KBTBD3,0.3861,1.349012906
SYNJ1,0.3608,1.348528148
ABCB4,-0.7536,1.348140731
DNASE1,0.2737,1.346690987
RPL22L1,-0.6454,1.346594509
CAB39L,0.3058,1.344861565
NTAN1,-0.2426,1.345246067
SIPA1L2,0.3619,1.34428545
COL5A3,-0.7804,1.343518484
CENPF,-0.5866,1.343039817
GSTP1,-0.3935,1.341320971
PKNOX1,0.2679,1.340844719
LFNG,0.5758,1.340844719
WASH7P,-0.753,1.33847126
RAB7L1,-0.5552,1.33847126
CRNDE,-0.7211,1.337903555
JOSD2,-0.6383,1.338281942
PABPC1L,-0.6857,1.337242168
BHMT,-0.7718,1.337242168
C5orf54,0.4492,1.339798799
SMAD5,-0.3259,1.336581788
ATP8B5P,0.5793,1.336016545
SLC22A3,-0.7691,1.333201316
PNPLA8,0.3062,1.333294864
TM9SF4,-0.4857,1.332547047
GM2A,-0.405,1.332173621
FAM19A2,0.6664,1.331055266
SLITRK1,0.4786,1.331427731
QSOX1,-0.4608,1.328827157
ZNF23,0.2919,1.328364403
ZNF540,0.5405,1.32817944
RGS7BP,0.682,1.330125498
ZNF510,0.3193,1.328549446
DLEU1,-0.449,1.326610422
CD55,-0.483,1.322575562
C11orf9,-0.5429,1.32348929
MIS18BP1,-0.5748,1.324130045
LMAN1,-0.4876,1.324496615
FAM175A,-0.5632,1.323672266
PCDHGA1,0.7589,1.32348929
EIF4E1B,0.7455,1.323032186
IL1RAPL2,-0.7765,1.32321497
RHOJ,-0.7752,1.321845962
RECK,-0.6658,1.320118058
SHC1,-0.6608,1.317493914
KIRREL3,-0.5831,1.316052869
TNNT1,-0.6354,1.316952962
PLCD1,-0.3664,1.316052869
NKD2,-0.7738,1.315603522
NYX,0.7741,1.314885531
SNAP23,-0.686,1.312471039
ANO10,-0.4027,1.31264943
HLA-E,-0.5518,1.312471039
VCL,-0.5975,1.310336035
KIAA1737,0.2451,1.310336035
SOCS1,-0.7613,1.30980392
ANGPTL4,-0.758,1.310957661
CKAP2L,-0.5157,1.309272456
CITED2,0.4615,1.308830066
OPTC,-0.7435,1.30565809
SHANK2,0.5081,1.30600939
GMDS,-0.6298,1.305394801
RAPGEF5,0.5765,1.307946635
FAM131B,0.4846,1.307681956
CPNE3,-0.3874,1.306273051
SMS,-0.6124,1.306536873
KIRREL,-0.5864,1.303818413
PRSS23,-0.5066,1.30346888
SCN2A,0.5012,1.302509113
AGPAT9,-0.7684,1.301290651
MPEG1,0.7584,1.300595918
GGTA1P,-0.7608,1.300075597
PPAPDC3,0.4463,1.297914279
PMEPA1,-0.5322,1.296622631
PNPLA2,-0.3364,1.295935321
LRRN2,0.5927,1.289967301
PTPN14,-0.6542,1.290475644
AIDA,-0.3057,1.287687091
ANK3,0.4551,1.284330858
CCDC65,0.5331,1.29387989
GLI1,-0.7617,1.282912275
CIT,-0.4007,1.286005732
TPTE2P1,0.6907,1.282912275
INSM2,-0.7633,1.290645224
SCG3,0.4886,1.288783476
SHCBP1,-0.6266,1.283078927
CAPS,0.5932,1.282912275
SP140L,-0.7479,1.291154362
TCF15,-0.7576,1.285921835
OSBPL2,0.1468,1.283579266
LNP1,0.3787,1.286005732
PLSCR1,-0.7046,1.29030613
ATP13A4,-0.7064,1.285000033
FAM43A,-0.6577,1.288783476
OSTC,-0.4436,1.287687091
GDF9,0.6908,1.292429824
SLC29A1,-0.5157,1.288192771
MAN1A1,-0.5265,1.294735138
MOXD1,-0.6528,1.294735138
SNX9,-0.363,1.285586408
SCARA3,-0.6968,1.290051983
PDP1,0.2692,1.283913146
HTR2C,0.7538,1.289713352
PLOD1,-0.729,1.276626433
CERS5,-0.2708,1.281498311
PPP1R1A,0.6009,1.279096829
PYGL,-0.7147,1.277366077
NOXO1,0.5121,1.277612906
ARHGAP10,-0.7218,1.277695213
MAN2A1,-0.4981,1.27942728
FUT9,0.6189,1.280088936
OLIG3,0.7591,1.276626433
LRRC17,-0.7554,1.276955008
ANGPT2,-0.6004,1.279096829
SLC45A4,-0.3931,1.280337317
DENND2C,-0.7128,1.275396485
MEST,-0.5266,1.275478373
NECAP1,0.3781,1.269459964
GPR19,0.3721,1.270997291
CASC5,-0.6111,1.270754193
SLC2A4,-0.709,1.273598838
LOC284023,0.2798,1.269459964
CDK5R1,0.5188,1.270106596
GDPD1,0.374,1.270349332
BCL2,0.4729,1.27205229
NKPD1,0.7002,1.271889816
ALDH16A1,-0.543,1.271646218
DCTD,-0.399,1.271321633
TCEAL2,0.4799,1.271483895
LOC100505761,0.477,1.267204302
GEM,-0.5306,1.266080849
PDE3A,-0.6336,1.264081883
CDH9,0.6525,1.263922363
PRPF4,0.1838,1.263922363
FAH,-0.4318,1.262330373
ADCY5,0.484,1.261695207
ATG16L1,0.2202,1.261060969
SLC25A44,0.2383,1.257274869
MIR630,0.7042,1.258769589
FSTL1,-0.7192,1.258848401
LOC729506,0.7438,1.258218304
SPINK5,-0.7337,1.258060922
LOC100287846,0.7277,1.257196342
TRIM14,-0.5974,1.257196342
PHF19,-0.5262,1.259558355
RASSF8,-0.5833,1.25641185
BK250D10.8,0.3937,1.255081458
BMP8A,-0.7009,1.250109159
PGAP2,-0.3165,1.249260249
SWAP70,-0.4554,1.247183569
ADAMTS15,-0.6933,1.24848995
ZNF764,0.3128,1.253365801
ZNF232,0.2936,1.250186415
KIF19,0.5423,1.249337354
DAPK3,0.1446,1.250572901
RAB11FIP5,-0.5362,1.247030135
PIGT,-0.211,1.248412995
APOL3,-0.7264,1.248566918
EDEM1,-0.4362,1.251734427
FAM19A1,0.7263,1.248259126
CHST2,-0.7082,1.247797847
PCDHB6,0.7317,1.250495576
STL,-0.5892,1.25266589
COL27A1,-0.6396,1.252899069
KBTBD6,0.2566,1.246034134
MTRF1L,0.3595,1.245575211
MTMR11,-0.7208,1.244658816
HEPHL1,-0.7323,1.241769592
ORAI1,-0.5665,1.241693818
ZCCHC14,0.2114,1.243516036
PROS1,-0.5312,1.242452147
SPRY1,-0.6335,1.243211801
GNE,0.2803,1.244048959
COL4A6,-0.6533,1.242300375
NFIC,-0.6436,1.240558803
ZNF791,0.2921,1.240936812
SNORA51,-0.7026,1.240332155
MYOZ3,-0.6044,1.239276028
POLA1,-0.5954,1.239426746
HADHA,-0.3,1.237171447
DOCK3,0.4706,1.237471478
LMO3,0.5316,1.2367967
NACAD,0.4385,1.236197776
CCNB1,-0.5201,1.235674394
SERPIND1,-0.734,1.23485321
STK24,-0.2142,1.233438447
PHF13,-0.298,1.221053272
H6PD,-0.6251,1.227604939
NBPF3,-0.3613,1.217026005
CITED4,0.5124,1.222283261
KIAA0494,-0.2546,1.220692172
CYP2J2,-0.7292,1.225483034
CCDC18,-0.3993,1.21395879
DPYD,-0.6279,1.222863287
ZNF124,0.4382,1.21417208
NUDT9P1,-0.736,1.217455716
NOLC1,0.1861,1.215525356
TMEM151A,0.6092,1.230032199
LOC283440,0.7396,1.230179742
ANKRD13A,-0.2697,1.225045311
ANGEL1,0.4337,1.229589868
GOLGA8A,-0.5509,1.225556031
CEP152,-0.5326,1.221053272
CSK,0.1848,1.215525356
NARFL,0.1938,1.229295232
CLEC19A,-0.6688,1.226286675
LPCAT2,-0.6738,1.226945307
PRSS54,-0.6714,1.214314332
CDRT15P1,-0.7006,1.216239304
USP22,0.2237,1.219322726
GFAP,-0.714,1.218963061
TWSG1,-0.4535,1.216596719
FAHD2B,-0.458,1.22562904
STAC,-0.42,1.218963061
POC1A,-0.4775,1.218531857
PLCXD2,0.4898,1.225848141
PLXND1,-0.6599,1.22775166
CCNA2,-0.5693,1.216596719
LOC728613,0.6618,1.215882184
CMBL,-0.3903,1.220764368
CDH6,-0.4624,1.225702062
KIF3A,0.3681,1.231509895
Sep-08,-0.3378,1.22701855
CYSTM1,-0.2853,1.22811868
PCDHB8,0.7297,1.217957583
NPM1,-0.4934,1.220836576
NKX2-5,-0.6424,1.218172847
KLHL31,-0.6516,1.216811309
TTK,-0.5141,1.214385475
FUCA2,-0.3714,1.224826615
ADAM22,0.2472,1.220187137
TMEM176B,-0.7388,1.225921199
PEBP4,0.7109,1.215596698
TAS1R3,0.5557,1.186018924
LOC388588,-0.626,1.187487716
AGBL4,0.6518,1.168450148
LMO4,-0.4769,1.194499142
SLC25A24,-0.592,1.190171039
PSRC1,-0.5136,1.200935281
MOV10,-0.5781,1.204189475
NBPF16,-0.6464,1.167874457
NR1I3,0.644,1.189901959
MYOC,0.6636,1.193480866
LEMD1,0.4305,1.178420972
NEK2,-0.6711,1.167044249
MAP1LC3C,-0.706,1.173536451
ITGB1,-0.4866,1.177374321
ZNF25,0.2887,1.195383583
REEP3,-0.4063,1.16678912
LOC100288974,-0.7105,1.182038195
ANXA11,-0.7142,1.183096161
BLNK,-0.7268,1.200659451
PKD2L1,0.6622,1.184090349
C10orf82,0.5933,1.196542884
ZRANB1,0.277,1.18276527
RHOG,-0.4954,1.197773762
C12orf60,0.5324,1.173795577
FMNL3,-0.4149,1.173925197
LOC100507250,0.5542,1.168002323
PPFIA2,0.4545,1.18243463
BTG1,0.3694,1.169026603
ACTR6,0.2759,1.200314909
ELF1,-0.4009,1.180192935
ABCC4,-0.6553,1.185286387
MBNL2,-0.3685,1.187153463
GRTP1,-0.4961,1.207888591
NKX2-1,0.7098,1.182632984
FBLN5,-0.6834,1.186619193
SLC24A4,0.7237,1.197431502
RIN3,-0.7138,1.196816111
GSC,-0.677,1.183228588
WHAMMP3,-0.6576,1.188894393
SHC4,0.5361,1.171404544
FLJ10038,0.3791,1.197089511
PPIB,-0.3257,1.174638804
SKOR1,0.7045,1.20259395
SEC11A,-0.3392,1.168514161
MESP2,-0.6863,1.18809002
TTC23,-0.3564,1.176069545
IRX5,-0.7205,1.181642122
PARD6A,0.4626,1.167108055
LOC100506083,0.4945,1.188894393
AP1G1,0.1424,1.20059052
SLC43A2,0.3494,1.206139799
CALCOCO2,-0.3496,1.194567112
Sep-09,-0.4146,1.173471694
NARF,0.2003,1.172501492
SLC14A2,0.7223,1.205511953
SGTA,0.2295,1.175158528
STAP2,-0.4388,1.168898435
CACNA1A,0.6005,1.19859629
PBX4,-0.5926,1.175743962
ZNF30,0.2213,1.170374647
SAMD4B,-0.1824,1.189700259
TGFB1,-0.6255,1.190911869
SLC8A2,0.5135,1.19893947
FLT3LG,-0.692,1.187755303
TMEM214,-0.496,1.168386145
PLB1,-0.7173,1.199351645
EML4,-0.4048,1.176395372
TEKT4,0.701,1.185952279
FAHD2A,-0.2582,1.196338077
LIMS1,-0.5014,1.167874457
POTEF,-0.7024,1.170181813
NCKAP5,-0.3493,1.18382501
SERPINE2,-0.3999,1.205372555
NYAP2,0.6993,1.185819019
ZNF217,-0.5587,1.187621489
CBLN4,0.5841,1.201902068
USP25,-0.3405,1.176590985
LHFPL4,0.5292,1.205860644
VGLL4,-0.3355,1.186819467
RBMS3,-0.6397,1.203564441
ZNF167,0.4354,1.174898588
SEMA3B,-0.6083,1.177178355
ROBO2,0.3634,1.211407444
NIT2,-0.5819,1.208800754
ABI3BP,-0.7291,1.20809892
DZIP3,0.3206,1.17450897
PVRL3-AS1,0.6451,1.167427225
TAGLN3,0.4329,1.183493563
BOC,-0.6256,1.196884445
GYG1,-0.3685,1.19239733
NAALADL2,-0.6888,1.186419011
LEPREL1,-0.7291,1.211124884
PRKG2,-0.6991,1.189229989
CYP4V2,0.5012,1.185819019
C6,-0.6988,1.205163542
ISOC1,-0.5486,1.192464972
PCDHB10,0.3254,1.206139799
ANXA6,-0.6452,1.183626111
KIF4B,-0.5101,1.185552621
PRR7,0.1904,1.187554597
LOC729678,0.6278,1.183692401
HIST1H3J,-0.6119,1.169860613
ZBTB22,0.2669,1.193548677
KIFC1,-0.549,1.203148251
TBP,0.2407,1.179798541
PMS2CL,0.3408,1.177308989
FKBP14,-0.6002,1.180192935
FKBP9,-0.4174,1.208590084
GRM3,0.6129,1.200383796
EPHB4,-0.6453,1.168322151
LRRN3,0.5473,1.167491087
KIAA1147,0.257,1.173406946
FAM115A,0.2185,1.189229989
PDIA4,-0.4169,1.195519811
ZNF775,0.2417,1.207748428
FAM110B,0.2576,1.211124884
DMRT3,0.7178,1.175613798
CDKN2B,-0.7039,1.180982801
TSTD2,0.2954,1.180653516
PTGES,-0.7016,1.202940305
FIBCD1,-0.6829,1.186018924
STARD8,-0.7074,1.204537106
KLHL4,-0.6903,1.18243463
SH2D1A,-0.6782,1.182500738
HLX,-0.6728,1.16513442
FOSB,-0.6318,1.165452142
AKR1C3,-0.7137,1.1640559
NFE2L2,-0.3512,1.164119268
TRIP10,-0.5324,1.162916849
ZNF14,0.3806,1.163106484
DAB2,-0.5142,1.163549286
CCNE1,-0.4662,1.160836317
CRTAP,-0.5294,1.160773426
MYBPHL,-0.6574,1.156954189
RAB13,-0.5093,1.153601027
IFITM2,-0.7098,1.155771419
WEE1,-0.349,1.150519163
LIN7C,0.3113,1.154839922
NEAT1,-0.5604,1.158953535
PRICKLE1,-0.6021,1.157515576
TNFRSF12A,-0.525,1.149782758
ROGDI,0.3456,1.156331277
CLEC16A,0.197,1.159705668
TRADD,-0.6894,1.149966742
ATXN7L3,0.2479,1.152674169
COIL,0.2361,1.155212281
SPAST,0.3323,1.150887834
RQCD1,0.2386,1.151256818
HDLBP,-0.3856,1.14917004
ZNF502,0.7101,1.159141446
LRRC58,-0.3642,1.150212176
C4orf48,0.2925,1.154096161
HMX1,-0.702,1.14917004
SLC39A8,-0.3564,1.156393528
PARP8,0.26,1.14917004
AGXT2L2,-0.4154,1.149598852
HIST1H4K,-0.6587,1.151626116
MDFI,-0.4686,1.159893906
TFEB,-0.5835,1.152982902
SOBP,0.2902,1.150580586
EPM2A,0.3081,1.151195299
RASEF,-0.7099,1.153168247
TOR2A,0.1958,1.152612449
EFNB1,-0.4579,1.153539175
IRS4,-0.6417,1.15391042
FMNL1,0.5174,1.148313685
CABLES2,0.1954,1.148252581
PALMD,-0.7062,1.145451064
ARHGAP30,0.4733,1.146180154
SLC6A12,-0.6354,1.145086978
FBXL8,-0.669,1.145086978
MPP4,-0.6609,1.145754703
FAM169A,0.2892,1.145390362
POPDC3,-0.6543,1.145815456
PRKDC,-0.3408,1.146058554
MTCP1NB,-0.3672,1.144723196
KLHL35,0.547,1.142969202
LOC388630,-0.6851,1.141703475
TERF2,0.2403,1.141703475
PDIK1L,0.3225,1.128543826
CDKN2C,-0.5881,1.129771721
STAM,0.2146,1.139183036
CEP55,-0.5626,1.132296867
OAT,-0.3282,1.126563137
DPYSL4,0.3403,1.132650383
INCENP,-0.4533,1.137034241
FLJ39051,0.4429,1.126970188
TNFRSF1A,-0.5017,1.128368695
EMP1,-0.6983,1.132473589
LRRK2,-0.638,1.128660619
HMGA2,-0.6418,1.128602219
PAWR,-0.4633,1.126040345
KDELC1,-0.4797,1.127086558
STOML1,0.44,1.13667714
CPLX3,0.5793,1.128310334
IQGAP1,-0.5202,1.128251981
UNC45A,-0.399,1.132591443
QPRT,-0.459,1.131061822
FHOD1,-0.5817,1.13418562
PMFBP1,-0.6728,1.124186611
VPS53,0.2412,1.131473113
GSG2,-0.5565,1.123435786
DNAH2,0.5147,1.132532512
MRM1,0.4208,1.124071015
MPP2,0.354,1.134777544
ITGB4,-0.6953,1.130474937
CCDC68,-0.696,1.123262703
SALL3,0.49,1.130592251
TMC4,-0.5552,1.124360063
ZNF329,0.2676,1.13637978
ZNF324B,0.4072,1.134955278
MAT2A,0.3537,1.138465589
RND3,0.4659,1.128018646
IL5RA,0.6958,1.123435786
TUSC2,0.3129,1.124996646
TACC3,-0.4554,1.124765054
RGS12,0.2794,1.126853849
KLHL8,0.2803,1.125286311
CXXC4,0.3722,1.135310966
RAB33B,-0.3195,1.1340082
LRP2BP,0.5095,1.133712661
RIOK1,0.2755,1.126621264
GUSB,-0.289,1.13834613
WNT16,-0.6902,1.124996646
MTMR9,0.4022,1.135429593
RB1CC1,0.1851,1.135251664
LOC100130301,-0.6884,1.123435786
ZHX2,-0.1906,1.138943755
C8orf31,0.662,1.136023216
PTPLAD2,-0.6807,1.124013229
ANGPTL2,-0.6812,1.138465589
XKR9,0.6838,1.122743867
NPM3,-0.43,1.121593112
NGF,-0.6824,1.119815447
WDR37,0.2218,1.119186408
NPFFR1,0.6156,1.120388093
GIPC3,-0.696,1.120273503
ERBB4,0.5386,1.121076266
GHR,-0.6939,1.119243555
VWDE,-0.6838,1.119472222
RPS4X,-0.5797,1.118615343
CDK2AP2,-0.3551,1.117418546
LOC146336,0.693,1.115884638
UBE2C,-0.6278,1.117817112
C22orf39,0.2448,1.116111542
MFSD7,-0.6817,1.11662251
CANX,-0.2312,1.115544504
VIPR2,0.6908,1.115601174
PPP1R3B,-0.5682,1.11673614
TMEM229B,0.5479,1.115204636
PCDH17,0.2916,1.114469167
HOXA10,-0.6931,1.11463878
SYT12,0.5719,1.113509275
FLJ44054,-0.6519,1.113622093
BASP1,0.4201,1.113791376
NCAPH2,0.2371,1.112438959
PLA1A,-0.5791,1.112326448
EGFLAM,-0.6643,1.112045296
CD151,-0.3897,1.111259039
STX11,-0.677,1.111371275
APRT,-0.3698,1.1103622
PTPN2,-0.342,1.109970414
PRRT4,0.5432,1.109970414
ARRDC2,-0.5913,1.109020403
POLD4,-0.613,1.108574057
LDLRAP1,-0.6823,1.106349183
SYDE2,-0.558,1.107515821
TP53BP2,-0.3194,1.105241006
ADAM12,-0.5572,1.107071018
GAL3ST2,0.6873,1.106737714
CTNND2,0.2648,1.106848787
TSPAN13,0.4076,1.106238238
RPS2P32,0.6489,1.105683937
SLC26A7,-0.6902,1.105517785
C9orf7,0.2083,1.105241006
CDCA8,-0.5135,1.103473783
MKNK1,-0.2483,1.099305226
TOMM40L,0.3821,1.101823517
PTGS2,-0.6878,1.102537862
DNAJC1,-0.4755,1.102153068
TLL2,0.5684,1.100617294
PSD,0.5206,1.099469018
LIMA1,-0.4947,1.101329657
RBMS2,-0.4759,1.100617294
CKAP4,-0.3698,1.104246058
EEF1DP3,0.6545,1.102537862
TAX1BP3,-0.4054,1.10380459
LOC653653,-0.4477,1.101823517
ZNF512,0.2908,1.100453069
SNHG11,0.2322,1.099359816
CDH22,0.6411,1.099414413
PTK7,-0.5221,1.099578247
ZP3,-0.6679,1.10067205
TMEM53,0.3107,1.093718844
LRRC7,0.3219,1.095122233
GSTM2,-0.5028,1.093611079
CASP7,-0.4341,1.09323411
PPFIBP2,-0.6376,1.09560908
THAP2,0.2884,1.098214855
HSP90AB4P,-0.6784,1.09323411
DET1,0.2051,1.094258073
CYLD,0.319,1.096259059
BCL3,-0.6233,1.093664958
VWC2L,0.6372,1.098323769
RNF25,0.1676,1.095879787
CNTN4,0.504,1.098214855
CISH,-0.5241,1.092857469
HADH,-0.4319,1.093880542
PCDHB11,0.4955,1.097127215
GSR,-0.1539,1.095717342
GAS1,-0.6786,1.094960072
RALGPS1,0.3386,1.093934455
ASS1,-0.5933,1.098051535
MAGT1,-0.483,1.092696151
FOXRED1,0.2663,1.092212557
APOBEC3F,-0.6398,1.091568601
PNMA6C,0.6833,1.091461368
NYNRIN,-0.5606,1.088363067
PAFAH1B1,0.2687,1.088895682
HLA-DPB1,-0.6257,1.088416299
ACADL,-0.6423,1.087990624
TMCO4,-0.68,1.085339569
STX12,0.2526,1.07717078
LPPR5,0.4957,1.079928876
SLC16A1,-0.3904,1.07654873
HIST2H2AC,-0.6177,1.079302866
UNC5B,-0.655,1.080085519
DLG2,0.4321,1.078677756
EPS8,-0.5223,1.081445469
TMED10,-0.2748,1.082389474
ZNF668,0.2764,1.077637903
CDH5,-0.6796,1.082809691
SERPINF2,-0.6734,1.082862247
CCL2,-0.6794,1.08149786
NSF,0.2745,1.08055579
TBX2,-0.5658,1.085656843
NANP,-0.3152,1.084178212
LAMA5,-0.4893,1.078105529
APOL1,-0.6811,1.083704005
RPL14,-0.537,1.078053546
TXNRD3,-0.5488,1.080085519
PEX5L,0.623,1.082599532
LOC152217,0.4514,1.084178212
TMEM171,-0.6135,1.076445142
LRRC1,-0.3878,1.083177715
SIM1,0.6275,1.083019953
BVES,-0.249,1.082862247
LINC00242,0.5716,1.080817271
PHF14,0.1599,1.076082777
PLOD3,-0.4068,1.07852162
XKR5,-0.6356,1.07654873
RHOBTB2,0.4079,1.077949598
ANXA1,-0.6786,1.081340707
ATP2B3,0.5396,1.076238039
SMAP2,0.2954,1.074584763
MELK,-0.5682,1.074481642
IFI16,-0.6473,1.071604148
LRRC52,0.6609,1.067272633
HHAT,-0.4914,1.073554652
INPPL1,-0.3374,1.068287933
TUBA1B,-0.2308,1.067830754
AACS,-0.4244,1.069764347
IGDCC4,-0.6063,1.070836617
CD276,-0.2418,1.06833876
ACAN,-0.675,1.069968385
LINC00526,0.4174,1.070376748
ZNF675,0.2529,1.070223567
IRF2BP1,0.189,1.067323341
NEU4,0.6273,1.068542129
CXADR,0.2793,1.06722193
PDCD6IP,-0.3005,1.069101886
CHSY3,-0.6706,1.070887743
PPP1R10,0.4539,1.067729224
AMPH,0.4514,1.067475503
MEGF9,0.3088,1.067729224
MIR181A2HG,0.4623,1.067019178
RPL7A,-0.4194,1.070325682
KIF4A,-0.4928,1.068135487
MORF4L2,-0.4217,1.07211659
CORO1B,-0.275,1.06666459
IL34,-0.6733,1.065400562
WNT5A,-0.604,1.065703593
PABPC3,-0.4561,1.063938883
MCF2L,0.4215,1.064291252
SAMD14,0.2885,1.062682752
ZFP28,0.6693,1.062933688
ZNF300,0.6722,1.062783109
GTF2E2,-0.3225,1.064492734
FNBP1,-0.3116,1.062682752
PTGDS,-0.6437,1.062431961
ARSE,-0.6553,1.062181315
TMSB15B,-0.449,1.063285242
ROBO3,0.6583,1.061680457
PPP1R26,0.2834,1.060880282
SLC25A45,-0.6618,1.060580597
ZSCAN2,0.2606,1.059383918
WDR73,0.2182,1.059184791
CCDC8,-0.5492,1.058786812
KPNA4,0.1613,1.058737091
GPSM1,0.3101,1.058637664
SPTLC1,-0.2046,1.057942316
KIAA0090,-0.1397,1.052958595
S1PR1,0.5345,1.050122296
GNAT2,-0.6669,1.050414849
PPAPDC1A,0.649,1.054974799
DOC2GP,-0.6662,1.050366076
YARS2,-0.258,1.052223292
NPFF,-0.5777,1.054925512
GAS2L3,-0.4156,1.052664324
LRP10,-0.4314,1.055813539
CHP,-0.2315,1.053351266
PDPK1,0.1796,1.051147094
BCL6B,0.6665,1.049635146
TRIM37,0.2629,1.052272273
CDC25B,-0.2456,1.052272273
SNX5,-0.2604,1.051880576
KCNS1,-0.6663,1.050463627
Sep-05,0.4582,1.04992737
GCAT,-0.3492,1.049343117
ZBED4,0.2526,1.054432947
LOC440944,0.3654,1.05507339
THG1L,-0.383,1.053744293
SQSTM1,-0.2957,1.051978467
CLIC1,-0.3766,1.051929518
COL10A1,-0.5477,1.055319966
C9orf37,0.263,1.049781233
ELK1,-0.5244,1.049732532
NCAPD2,-0.3753,1.048371106
NFKB1,-0.4355,1.048419655
MOAP1,0.3199,1.0473044
RFPL1-AS1,0.5184,1.04759506
SREK1,-0.275,1.046772028
NTN4,0.4279,1.046433586
RPL23A,-0.4586,1.04590228
LOC100289178,-0.5336,1.035787527
CSF1,-0.5422,1.041436117
ATP1A4,0.6566,1.034234036
ASPM,-0.5813,1.035693218
VIM,-0.3059,1.034375033
FGFBP3,0.5134,1.033576654
TMEM180,0.3082,1.031236952
LRFN4,0.2951,1.043255455
CLPB,0.2353,1.033623577
CCDC82,0.2191,1.031283623
EXPH5,-0.6385,1.044841613
SHMT2,-0.4061,1.03035116
STARD13,-0.5916,1.038483989
NDRG2,-0.3444,1.031890799
DIO3,-0.6516,1.04383157
CATSPER2,-0.5356,1.043399412
KIAA1024,0.4764,1.042775942
SYT17,0.5178,1.038009713
SLC6A2,-0.6315,1.033670505
MT1F,-0.5865,1.036212173
SREBF1,-0.2865,1.044841613
FAM18B1,0.2447,1.043447408
SLFN5,-0.6274,1.030630688
PECAM1,-0.5699,1.032826577
RIT2,0.6243,1.031890799
SKA1,-0.5624,1.034657164
ZNF132,0.6444,1.036589984
PQLC3,-0.6393,1.04291974
CCDC85A,0.5345,1.035316185
ITGA4,-0.6476,1.037914919
PP14571,0.4537,1.037867531
COL6A1,-0.6322,1.043543417
S100B,-0.6302,1.041101805
IFT27,0.2014,1.033764376
NPTXR,0.4734,1.030490901
TMEM108,0.4143,1.039006291
JAKMIP1,0.5669,1.035269079
PRDM8,0.4432,1.031703885
MANBA,-0.4409,1.040910886
BBS7,0.1647,1.035693218
CLCN3,0.2052,1.031050319
LOC100505738,0.6572,1.041149548
NLN,0.236,1.043687469
PCDHB7,0.6516,1.032218092
RGS14,-0.4462,1.042296958
CBY3,0.5688,1.038009713
HIST1H2AM,-0.6372,1.03193754
HLA-C,-0.5912,1.040767751
ELOVL5,-0.2373,1.040576978
FAM46A,-0.3156,1.037725395
RPS12,-0.5287,1.033248336
CCDC136,0.4087,1.037346595
TRPS1,-0.3614,1.039006291
ANXA2P2,-0.5766,1.039386542
SRPK3,-0.6556,1.042440598
CSRNP3,0.2731,1.028677755
ZC3H12A,-0.5278,1.027241916
C10orf88,0.2803,1.02613355
GPC5,0.4252,1.02751945
F7,-0.6455,1.0266412
SSTR2,0.4515,1.027056992
CDH7,0.4489,1.02691835
BCR,0.1753,1.026179676
RGS20,-0.4782,1.02608743
ERCC6L,-0.527,1.027982401
ZNF674,0.269,1.025764723
OPRD1,-0.6254,1.014393917
NBPF10,-0.419,1.014438812
NIT1,0.1761,1.016824928
KLHDC8A,0.419,1.020679303
TMEM63A,-0.4667,1.016824928
LMO1,0.5992,1.021135016
LRP4,-0.5946,1.010683695
SNORD30,-0.6494,1.011842527
NUDT8,-0.3527,1.010772726
FAM181B,0.6434,1.012959713
ZFHX2,0.5149,1.02008759
SGPP1,-0.311,1.011173593
ZC2HC1C,0.5212,1.022505031
ZNF597,0.5373,1.015697768
NDE1,-0.3189,1.011129034
LOC283922,-0.4884,1.01028328
SYCE1L,-0.4168,1.024017056
C17orf102,0.621,1.013945219
PITPNC1,0.3773,1.020542682
PYCR1,-0.4362,1.012691326
FAM69C,0.5028,1.016013078
ZNF554,0.3534,1.013452187
LOC147727,0.3762,1.010461197
ZNF826P,-0.6194,1.021819483
KIF3C,0.3857,1.021226216
ZNF513,0.2304,1.010594682
HTRA2,0.2256,1.018045556
TIGD1,0.3403,1.014393917
LOC284751,-0.6113,1.017864505
